Company,Location,Description,Business Model,Capabilities,Key Features,Group,Website,Phone,Email,Twitter,LinkedIn,Lending,Banking and Personal Financial Management(PFM),Payments and Money transfer,Cyber Currency & Blockchain,Wealth & Investment Management,Robo Advisor,Financial Crime & Cybersecurity,Capital Markets,AI
Amber ,Vancouver ,"Amber Financial offers financing for your home renovation, debt consolidation, vacation, wedding, personal purchase in addition to any other financial need. ",B2C,Partners with SEI for technology Solutions,Mortgage,Fin Services,https://amberfinancial.com/en,+1 (866) 268-0328,info@amberfinancial.com,https://twitter.com/amber_financial,https://www.linkedin.com/company-beta/7577942/,v,,,,,,,,
Aspire Financial Technologies,Toronto,"The Aspire Gateway platform is a software infrastructure solution enabling better loan data, reporting and analytics flow between Loan Originators, Investors and Banks.",B2B,Inhouse team,"Loan analytics, Alternative Lending, Marketplace Lending",Fin Tech,http://aspirefintech.com/,,,https://twitter.com/AspireFinTech1,https://www.linkedin.com/company-beta/10538817/,v,,,,,,,,
Borrowell,Toronto,"We’re a safe responsible new way for Canadians to obtain three and five year fixed-rate loans at low interest rates that reward your good credit score. And since your credit score is so important to managing your financial life, we’re also a secure way to get your credit score—for free.","B2B, B2C",Inhouse,Includes P2P lending ,FinTech Venture,https://www.borrowell.com/,1-888-285-0990,hello@borrowell.com,https://twitter.com/Borrowell,https://www.linkedin.com/company-beta/4036218/,v,,,,,,,,
Canada Drives,Vancouver ,With Canada Drives You Have Access to Our Nation Wide Network of Dealer Partners and Many Types of Vehicles,B2C,Inhouse,Car Loans,FinTech Venture,,1-888-865-6402,,https://twitter.com/companycapital,https://www.linkedin.com/company-beta/2702862/,v,,,,,,,,
Company Capital,"Victoria, BC",Company Capital is what is referred to as a direct lender – meaning you are dealing directly with the decision makers and source of the money. We provide online loans to small businesses in Canada,B2B,Not technically inclined. Have online application process. ,,Fin Services,https://www.companycapital.ca/canadian-small-business-loans/,1-877-595-2346,info@companycapital.ca,https://twitter.com/companycapital,https://www.linkedin.com/company-beta/2702862/,v,,,,,,,,
Crelogix,British Columbia ,"Crelogix Credit Group Inc. is the parent company utilized by a group of finance and credit services industry entrepreneurs to incubate and develop financing, credit, insurance and leasing products and platforms. ",B2B,Not technically inclined. Have online application process.  ,,Fin Services,http://www.crelogix.com ,(800) 667-6640,support@crelogix.com,,https://www.linkedin.com/company-beta/784085/,v,,,,,,,,
Do Your Own Mortgage,Toronto,"Do Your Own Mortgage is a self-service mortgage website that allows you to take control of your mortgage application and receive a Cash Rebate on all mortgage products. By doing your own mortgage, you will be able to track the progress of your application every step of the way through your private dashboard.",B2C,Not technically inclined. Have online application process.  ,,Fin Services,https://www.doyourownmortgage.com/,647-931-3966,questions@doyourownmortgage.com,https://twitter.com/DYOMC,https://www.linkedin.com/company-beta/10151487/,v,,,,,,,,
Financeit,Toronto,"Financeit is a market leading point-of-sale financing provider servicing the home improvement, vehicle and retail industries. Financeit’s innovative cloud-based technology makes it easy for merchants to increase close rates and transaction sizes with affordable monthly or bi-weekly payment plans.",B2C,Inhouse team,,FinTech Venture,https://www.financeit.io/ca/en/program,1-888-536-3025,%20service@financeit.io,https://twitter.com/financeit,https://www.linkedin.com/company-beta/824742/,v,,v,,,,,,
Finstripe,Vancouver ,"Finstripe connects professionals to the enterprise-level corporate lending world from their desks and mobile devices. They can post unlimited borrowing requests, search the globe for compatible lenders or borrowers, monitor specific industry or geographic opportunities, and connect with high probability partners around the clock from the convenience of your internet connected desktop, phone or tablet.",B2C,Not technically inclined. Have online application process. ,,Fin Services,http://www.finstripe.com/,,info@finstripe.com,https://twitter.com/finstripe,,v,,,,,,,,
info@poweredbygrow.com,Toronto,"Flexiti Financial is a Canadian sales financing company founded in 2013. We help retailers increase their bottom line by providing better sales financing options than a standard credit card, with lower interest rates, longer payment terms and revolving credit. Using a mobile application process and patented ID scanning technology, we provide you with quick, simple and instant Point-of-Sale (POS) financing for your customers. ","B2B, B2C",Inhouse team,,FinTech Venture/Service Provider,http://flexitifinancial.com/i-am-a-business/, 1-855-559-0909,,,,v,,,,,,,,
Fundthrough,Toronto,"We are a lender specialized in lines of credit backed by outstanding invoices. We help business that traditional banks tend to overlook, access the money they need to continue growing. Our operating loans are based on the profile of our client's customers, instead of the strength of their credit history or their balance sheet. ",B2B,Inhouse team,,Fin Tech,https://www.fundthrough.com/,(416) 971-5724,info@fundthrough.com,https://twitter.com/fundthrough,,v,,,,,,,,
GoDay,Toronto,"Online payday loan company, GoDay.ca, provides highly automated short term loans that require no paperwork or faxing, and can be completed at any desktop computer, tablet, or mobile device. With transparent policies, accessibility, and responsible lending as their foundation, applicants can be sure that a loan from GoDay.ca is fast, smart, and secure. ",B2C,Not technically inclined. Have online application process. ,,Fin Services,https://goday.ca/,1-888-984-6329,,https://twitter.com/godayca,,v,,,,,,,,
Grow,Vancouver ,"We leverage the power of technology to bring together creditworthy borrowers seeking loans with investors looking to earn a fair return on their money — all in a convenient online environment that guarantees timely, personalized service with very competitive interest rates.",B2B,Inhouse team partners with credic unions and banks. ,,Fin Tech,https://www.poweredbygrow.com/,1 888 540 3951,info@poweredbygrow.com,https://twitter.com/poweredbygrow,https://www.linkedin.com/company-beta/807133/,v,,,,,,,,
Impak Finance,Toronto,"Impak Finance introduces the Impak Coin : the first cryptocurrency coded to grow the impact economy. First, we are going to launch an impact investment fund online. Our 100% digital and mobile platform will enable anyone to invest in impact bonds.",B2B,Inhouse team,,FinTech Venture,https://mpk.impak.eco/en/,,hello@impakfinance.com,https://twitter.com/impakfinance,https://www.linkedin.com/company-beta/10832737/,v,v,v,v,,,,,
Intellimortgage,Toronto,"Online mortgage broker and lender using proprietary mortgage rate comparison technology and a deep discount ""Do-it-Yourself"" model to offer Canadians the best possible mortgage rates.",B2C,Inhouse team,Mortgage,FinTech Venture,https://intellimortgage.com/, 1-800-280-2460,info@intellimortgage.com,https://twitter.com/intelliMortgage,,v,,,,,,,,
IOU Financial,Montreal,"IOU Financial, Inc., through a subsidiary, operates an Internet lending platform. The Company serves small businesses that are often under served by banks.",B2B,Inhouse team,,FinTech Venture,https://ioufinancial.com/,1.866.217.8564,,https://twitter.com/ioufinancial,https://www.linkedin.com/company-beta/5121483/,v,,,,,,,,
Kanetix,Toronto,"Kanetix Ltd. operates Kanetix.ca, an online insurance and mortgage marketplace that provides online comparison shopping services in Canada. It offers real-time insurance and mortgage quotes. The company enables users to compare the insurers and their rates, payment options, and available discounts. It also provides consulting and development services, which include Web development consulting, online quotation systems, XML data transfer and Web, online marketing, ‘White labeled’ or private labeled Websites, and Website hosting.","B2B, B2C","Inhouse team for dev consulting to insurance companies, Online portal ",Insurance,FinTech Venture/Service Provider,https://www.kanetixltd.ca/,416-598-5401,support@kanetix.ca ,https://twitter.com/kanetix,,v,,,,,,,,
